date,total_value,cash,shares_value,weekly_change_pct,weekly_change_usd,holdings_count,irr,monthly_deposit,profit_from_trading,sp500_comparison
2026-02-08,,,,,,,,,,"522% total return from inception vs S&P 48%. 24 holdings pre-CMPS/NRXP."
2026-02-15,17974,4624,13350,-5.39,,26,,250,-1023,
2026-02-22,18223,4022,14201,-4.08,,26,,250,-774,outperformed (portfolio +3.4% vs S&P +1.1% 7D)
2026-03-01,18516,3428,15088,-2.53,,26,,250,-481,
2026-03-08,18398,3678,14720,-1.96,,26,105.9,250,-368,marginally better (portfolio -0.7% vs S&P -1.5% 7D)
2026-03-15,,,,,,26,105.9,,,"14309 total portfolio value from dashboard. No account breakdown."
2026-03-18,,,,,-3.5 MTD,,,,,"Portfolio Review: oil risk assessment. Reviewing all holdings for high-oil-price impact."
2026-03-22,17092,4918,12174,-8.92,-1674,22,,250,-1674,"SW Weekly: Robotaxi Review. Portfolio down ~9% in March. Exited 4 positions (AISP, SPCE, BYRN, QRHC/APTV) at a loss. AUR/NRXP/PONY/TEM named as 4 potential 10-baggers. Cash at 29%."
2026-03-29,16125,5255,10869,-14.08,-2642,21,,250,-2642,"SW Weekly: AirTaxi Review. Worst monthly performance to date. Exited EVTL (Vertical Aerospace) — loss booked. Withdrew from eVTOL sector entirely. S&P 500 down 7.4%. Annualised return dropped to 92%. Cash at 33%. 6 stocks up, 15 down on the week. Portfolio down $2,469 in March, $3,950 under 5-year target."
2026-04-01,16867,5505,11362,-11.45,-2149,21,,250,-2149,"End of March portfolio update (chat). Month return -11.45% — 4th worst in 3 years. Cash 33%."
2026-04-05,17012,5505,11506,4.0,638,21,,,145,"SW Weekly: Quantum Progress. All 21 stocks up on the week (11 with double-digit gains). Portfolio +$638 (+4%) on week, but March ended -11%. Apr YTD +0.86% (+$145). Portfolio outperformed S&P (1.3% vs 0.8%). Neutral atoms research breakthrough at CalTech — 9,000 qubit design for Shor's algorithm."
2026-04-12,17251,,11830,1.9,239,22,,,"SW Weekly: Companies Driving Next-Gen Datacenter Tech. Week profit +$239 (~2%). 10/22 stocks in red. DRO -13% (CEO Vornik departing). ACMR exited in April for gain. VOYG new (added Apr 8, now +1%). Sector analysis: SiC/GaN semiconductors (Coherent/COHR, Vicor/VICR, SolarEdge/SEDG, Navitas/NVTS, WolfSpeed/WOLF, Ideal Power/IPWR) as datacenter plays. Also eyeing Keel/Bitfarms for datacenter facilities. Portfolio since inception: over $17,000 from $250. Strategy review planned for Seeking Alpha launch."
2026-04-16,18760,4946,13813,11.22,1893,22,,,1893,"Trade Alert #106: Buying NOW (ServiceNow). 12/21 stocks up 10%+ this week, 3 up 20%+, biggest gain 42% (QBTS). April MTD: +11.22% / +$1,893. Added NOW at market open (~$550, 3% of portfolio). Portfolio +$1,893 profit vs March end baseline. Cash after NOW purchase: $4,946. Note: this is a mid-week snapshot (Apr 16), not end-of-week."
2026-04-19,18848,4453,12.9,,23,,"outperformed (portfolio +12.9% vs S&P +4.5% week ending Apr 17). 20/23 stocks up. Apr MTD: +11.74% / +$1,981. Cash 24%. Exit Near: ROOF/MDA. Pre-Buy: KDK/TEM. Previewing eVTOL buy next week."
